country_code,country_id,product,product_code,flow,unit,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
8,Albania,wood charcoal,20,IMPORTS,1000 US$,0.0,0.0,0.0,0.0,16.0,7.0,7.0,7.0,7.0,7.0,28.36,39.43,36.38,110.39,117.57
8,Albania,wood charcoal,20,PRODUCTION,1000 m.t.,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0
8,Albania,"wood residue, chips and particles",23,EXPORTS,1000 m3,3.9,3.9,3.9,3.9,13.39,39.0,39.0,39.0,39.0,39.0,1.47,1.21,1.45,1.17,0.0
8,Albania,"wood residue, chips and particles",23,EXPORTS,1000 US$,97.0,97.0,97.0,97.0,671.59,1782.59,1782.59,1782.59,1782.59,1782.59,119.66,192.1,186.06,163.79,0.0
8,Albania,"wood residue, chips and particles",23,IMPORTS,1000 m3,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,4.48,0.93,0.0,0.05,0.0
8,Albania,"wood residue, chips and particles",23,IMPORTS,1000 US$,0.0,0.0,0.0,0.0,21.0,12.0,12.0,12.0,12.0,12.0,137.84,61.59,0.0,41.34,0.0
8,Albania,"wood residue, chips and particles",23,PRODUCTION,1000 m3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.87,27.42,30.8,26.69
8,Albania,"wood residue, chips and particles",23,EXPORTS,1000 m3,1.7,1.7,1.7,1.7,11.2,36.79,36.79,36.79,36.79,36.79,1.47,1.21,1.45,1.17,0.0
8,Albania,"wood residue, chips and particles",23,EXPORTS,1000 US$,51.41,51.41,51.41,51.41,626.0,1737.0,1737.0,1737.0,1737.0,1737.0,119.66,192.1,186.06,163.79,0.0
8,Albania,"wood residue, chips and particles",23,IMPORTS,1000 m3,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.05,0.0
8,Albania,"wood residue, chips and particles",23,IMPORTS,1000 US$,0.0,0.0,0.0,0.0,21.0,12.0,12.0,12.0,12.0,12.0,0.0,61.59,0.0,41.34,0.0
8,Albania,"wood residue, chips and particles",23,PRODUCTION,1000 m3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.7,24.38,16.55,22.8
8,Albania,"wood residue, chips and particles",23,EXPORTS,1000 m3,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,0.0,0.0,0.0,0.0,0.0
8,Albania,"wood residue, chips and particles",23,EXPORTS,1000 US$,45.59,45.59,45.59,45.59,45.59,45.59,45.59,45.59,45.59,45.59,0.0,0.0,0.0,0.0,0.0
8,Albania,"wood residue, chips and particles",23,IMPORTS,1000 m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.48,0.0,0.0,0.0,0.0
8,Albania,"wood residue, chips and particles",23,IMPORTS,1000 US$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.84,0.0,0.0,0.0,0.0
8,Albania,"wood residue, chips and particles",23,PRODUCTION,1000 m3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.17,3.04,14.25,3.89
8,Albania,recovered post-consumer wood,13,EXPORTS,1000 m.t.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Albania,recovered post-consumer wood,13,EXPORTS,1000 US$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Albania,recovered post-consumer wood,13,IMPORTS,1000 m.t.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Albania,recovered post-consumer wood,13,IMPORTS,1000 US$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Albania,recovered post-consumer wood,13,PRODUCTION,1000 m.t.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Albania,wood pellets and other wood agglomerates,22,EXPORTS,1000 m.t.,0.0,0.0,0.0,0.0,1.51,0.07,0.7,5.72,10.38,5.93,21.44,22.93,20.15,18.08,9.59
8,Albania,wood pellets and other wood agglomerates,22,EXPORTS,1000 US$,0.0,0.0,0.0,0.0,124.0,5.0,103.0,859.0,1210.0,666.0,2562.19,4381.97,3767.1,3693.08,1907.39
8,Albania,wood pellets and other wood agglomerates,22,IMPORTS,1000 m.t.,0.0,0.0,0.0,0.0,0.19,0.1,0.04,0.04,0.09,0.11,0.81,0.5,0.5,0.5,0.5
8,Albania,wood pellets and other wood agglomerates,22,IMPORTS,1000 US$,0.0,0.0,0.0,0.0,38.0,26.0,16.0,16.0,25.0,30.0,33.0,21.0,21.0,21.0,21.0
8,Albania,wood pellets and other wood agglomerates,22,PRODUCTION,1000 m.t.,0.0,0.0,0.0,0.0,0.0,1.2,4.9,14.9,14.9,35.0,42.0,32.0,40.0,40.0,40.0
8,Albania,wood pellets and other wood agglomerates,22,EXPORTS,1000 m.t.,0.0,0.0,0.0,0.0,1.51,0.07,0.7,0.7,0.7,0.7,18.53,22.93,20.15,18.08,9.59
8,Albania,wood pellets and other wood agglomerates,22,EXPORTS,1000 US$,0.0,0.0,0.0,0.0,124.0,5.0,103.0,103.0,103.0,103.0,2325.19,4381.97,3767.1,3693.08,1907.39
8,Albania,wood pellets and other wood agglomerates,22,IMPORTS,1000 m.t.,0.0,0.0,0.0,0.0,0.19,0.1,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0
8,Albania,wood pellets and other wood agglomerates,22,IMPORTS,1000 US$,0.0,0.0,0.0,0.0,38.0,26.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0
8,Albania,wood pellets and other wood agglomerates,22,PRODUCTION,1000 m.t.,0.0,0.0,0.0,0.0,0.0,1.2,4.9,4.9,4.9,25.0,32.0,32.0,40.0,40.0,40.0
8,Albania,wood pellets and other wood agglomerates,22,EXPORTS,1000 m.t.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.01,9.67,5.22,2.91,0.0,0.0,0.0,0.0
8,Albania,wood pellets and other wood agglomerates,22,EXPORTS,1000 US$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756.0,1107.0,563.0,237.0,0.0,0.0,0.0,0.0
8,Albania,wood pellets and other wood agglomerates,22,IMPORTS,1000 m.t.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.81,0.5,0.5,0.5,0.5
8,Albania,wood pellets and other wood agglomerates,22,IMPORTS,1000 US$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,33.0,21.0,21.0,21.0,21.0
8,Albania,wood pellets and other wood agglomerates,22,PRODUCTION,1000 m.t.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0
8,Albania,sawnwood,16,EXPORTS,1000 m3,21.4,21.4,21.4,21.4,5.86,6.54,6.55,1.05,0.85,0.85,0.0,0.0,0.0,1.24,0.0
8,Albania,sawnwood,16,EXPORTS,1000 US$,4303.65,4303.65,4303.65,4303.65,1227.0,1952.0,1952.0,1952.0,1952.0,1952.0,0.0,0.0,0.0,1658.96,0.0
8,Albania,sawnwood,16,IMPORTS,1000 m3,23.89,23.89,23.89,23.89,93.9,76.66,76.66,70.4,73.1,73.1,109.44,44.8,46.33,47.91,53.91
8,Albania,sawnwood,16,IMPORTS,1000 US$,4242.2,4242.2,4242.2,4242.2,17773.0,13517.0,13517.0,13517.0,13517.0,13517.0,12439.52,13364.08,18065.93,20242.94,21547.0
8,Albania,sawnwood,16,PRODUCTION,1000 m3,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,58.27,83.71,79.02,103.88
8,Albania,sawnwood,16,EXPORTS,1000 m3,12.25,12.25,12.25,12.25,1.0,0.54,0.55,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0
8,Albania,sawnwood,16,EXPORTS,1000 US$,1739.73,1739.73,1739.73,1739.73,97.0,34.0,34.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0
8,Albania,sawnwood,16,IMPORTS,1000 m3,20.47,20.47,20.47,20.47,89.9,72.8,72.8,68.7,70.7,70.7,103.58,33.43,32.76,35.13,39.31
8,Albania,sawnwood,16,IMPORTS,1000 US$,2969.36,2969.36,2969.36,2969.36,16457.0,11897.0,11897.0,11897.0,11897.0,11897.0,10101.61,10883.53,14547.01,16742.0,18052.4
8,Albania,sawnwood,16,PRODUCTION,1000 m3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,22.41,47.25,34.04,67.41
8,Albania,sawnwood,16,EXPORTS,1000 m3,9.15,9.15,9.15,9.15,4.86,6.0,6.0,0.5,0.3,0.3,0.0,0.0,0.0,1.24,0.0
8,Albania,sawnwood,16,EXPORTS,1000 US$,2563.91,2563.91,2563.91,2563.91,1130.0,1918.0,1918.0,1918.0,1918.0,1918.0,0.0,0.0,0.0,1658.96,0.0
8,Albania,sawnwood,16,IMPORTS,1000 m3,3.41,3.41,3.41,3.41,4.0,3.86,3.86,1.7,2.4,2.4,5.85,11.37,13.56,12.77,14.59
8,Albania,sawnwood,16,IMPORTS,1000 US$,1272.83,1272.83,1272.83,1272.83,1316.0,1620.0,1620.0,1620.0,1620.0,1620.0,2337.9,2480.55,3518.92,3500.94,3494.6
8,Albania,sawnwood,16,PRODUCTION,1000 m3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,35.85,36.46,44.98,36.47
8,Albania,sawnwood,16,EXPORTS,1000 m3,0.62,0.62,0.62,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Albania,sawnwood,16,EXPORTS,1000 US$,309.83,309.83,309.83,0.0,0.18,10.91,16.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Albania,sawnwood,16,IMPORTS,1000 m3,2.52,2.52,2.52,0.42,0.49,0.61,0.42,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
8,Albania,sawnwood,16,IMPORTS,1000 US$,1160.86,1160.86,1160.86,210.99,207.03,434.58,348.73,154.9,154.9,154.9,154.9,154.9,282.19,154.9,154.9
8,Albania,sawnwood,16,PRODUCTION,1000 m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,6.44,4.06
8,Albania,wood-based panels,24,EXPORTS,1000 m3,0.0,0.0,0.0,0.0,0.0,1.2,1.2,1.2,1.2,1.2,0.0,0.07,0.12,1.39,0.99
8,Albania,wood-based panels,24,EXPORTS,1000 US$,0.0,0.0,0.0,0.0,192.0,295.0,295.0,295.0,295.0,295.0,0.0,21.62,324.59,1355.23,853.5
8,Albania,wood-based panels,24,IMPORTS,1000 m3,111.83,80.23,97.23,98.23,188.15,177.38,177.39,177.39,177.39,177.39,114.1,53.23,55.74,84.09,74.77
8,Albania,wood-based panels,24,IMPORTS,1000 US$,11534.27,22397.83,23042.83,21713.83,40334.0,37039.0,37039.0,37039.0,37039.0,37039.0,25045.93,33237.58,38767.67,45313.49,66985.65
8,Albania,wood-based panels,24,PRODUCTION,1000 m3,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0
8,Albania,veneer sheets,19,EXPORTS,1000 m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Albania,veneer sheets,19,EXPORTS,1000 US$,0.0,0.0,0.0,0.0,45.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0
8,Albania,veneer sheets,19,IMPORTS,1000 m3,0.29,0.29,0.29,0.29,1.28,1.28,1.29,1.29,1.29,1.29,0.0,0.24,0.16,0.32,0.23
8,Albania,veneer sheets,19,IMPORTS,1000 US$,277.36,277.36,277.36,277.36,1020.0,846.0,846.0,846.0,846.0,846.0,0.0,709.34,468.67,921.3,796.04
8,Albania,veneer sheets,19,PRODUCTION,1000 m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Albania,veneer sheets,19,EXPORTS,1000 m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Albania,veneer sheets,19,EXPORTS,1000 US$,0.0,0.0,0.0,0.0,6.0,44.0,44.0,44.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0
8,Albania,veneer sheets,19,IMPORTS,1000 m3,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
8,Albania,veneer sheets,19,IMPORTS,1000 US$,44.61,44.61,44.61,44.61,173.0,131.0,131.0,131.0,131.0,131.0,0.0,0.0,0.0,14.9,0.0
8,Albania,veneer sheets,19,PRODUCTION,1000 m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Albania,veneer sheets,19,EXPORTS,1000 m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Albania,veneer sheets,19,EXPORTS,1000 US$,0.0,0.0,0.0,0.0,39.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
8,Albania,veneer sheets,19,IMPORTS,1000 m3,0.23,0.23,0.23,0.23,1.28,1.28,1.29,1.29,1.29,1.29,0.0,0.24,0.16,0.31,0.23
8,Albania,veneer sheets,19,IMPORTS,1000 US$,232.75,232.75,232.75,232.75,847.0,715.0,715.0,715.0,715.0,715.0,0.0,709.34,468.67,906.39,796.04
8,Albania,veneer sheets,19,PRODUCTION,1000 m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Albania,veneer sheets,19,EXPORTS,1000 m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Albania,veneer sheets,19,EXPORTS,1000 US$,0.0,0.0,0.0,2.4,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Albania,veneer sheets,19,IMPORTS,1000 m3,0.22,0.22,0.22,0.26,0.2,0.11,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.31,0.31
8,Albania,veneer sheets,19,IMPORTS,1000 US$,232.75,232.75,232.75,253.23,192.8,88.13,122.19,122.19,122.19,122.19,0.0,0.0,0.0,906.39,906.39
8,Albania,veneer sheets,19,PRODUCTION,1000 m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Albania,wood-based panels,24,EXPORTS,1000 m3,0.0,0.0,0.0,0.0,0.0,1.2,1.2,1.2,1.2,1.2,0.0,0.07,0.12,1.39,0.99
8,Albania,wood-based panels,24,EXPORTS,1000 US$,0.0,0.0,0.0,0.0,147.0,245.0,245.0,245.0,245.0,245.0,0.0,21.62,324.59,1355.23,853.5
